tensor(-84.5578, dtype=torch.float64)
tensor(-84.7220, dtype=torch.float64)
tensor(-84.8254, dtype=torch.float64)
tensor(-84.9744, dtype=torch.float64)
tensor(-85.1055, dtype=torch.float64)
tensor(-85.1456, dtype=torch.float64)
tensor(-85.1960, dtype=torch.float64)
tensor(-85.4418, dtype=torch.float64)
tensor(-85.5119, dtype=torch.float64)
tensor(-85.5649, dtype=torch.float64)
tensor(-85.6231, dtype=torch.float64)
tensor(-85.7735, dtype=torch.float64)
tensor(-85.8797, dtype=torch.float64)
tensor(-86.0620, dtype=torch.float64)
tensor(-86.2244, dtype=torch.float64)
tensor(-86.3391, dtype=torch.float64)
tensor(-86.4190, dtype=torch.float64)
tensor(-86.4782, dtype=torch.float64)
tensor(-86.6212, dtype=torch.float64)
tensor(-86.7321, dtype=torch.float64)
tensor(-86.7601, dtype=torch.float64)
tensor(-86.9521, dtype=torch.float64)
tensor(-87.0066, dtype=torch.float64)
tensor(-87.1150, dtype=torch.float64)
tensor(-87.2149, dtype=torch.float64)
tensor(-87.2667, dtype=torch.float64)
tensor(-87.4475, dtype=torch.float64)
tensor(-87.4741, dtype=torch.float64)
tensor(-87.6062, dtype=torch.float64)
tensor(-87.6791, dtype=torch.float64)
tensor(-87.7926, dtype=torch.float64)
tensor(-87.9079, dtype=torch.float64)
tensor(-87.9974, dtype=torch.float64)
tensor(-88.0455, dtype=torch.float64)
tensor(-88.2161, dtype=torch.float64)
tensor(-88.3129, dtype=torch.float64)
tensor(-88.3698, dtype=torch.float64)
tensor(-88.4918, dtype=torch.float64)
tensor(-88.5211, dtype=torch.float64)
tensor(-88.6769, dtype=torch.float64)
tensor(-88.8049, dtype=torch.float64)
tensor(-88.8584, dtype=torch.float64)
tensor(-88.9997, dtype=torch.float64)
tensor(-89.1397, dtype=torch.float64)
tensor(-89.2537, dtype=torch.float64)
tensor(-89.4341, dtype=torch.float64)
tensor(-89.4789, dtype=torch.float64)
tensor(-89.4959, dtype=torch.float64)
tensor(-89.7386, dtype=torch.float64)
tensor(-89.8904, dtype=torch.float64)
tensor(-89.9685, dtype=torch.float64)
tensor(-90.0510, dtype=torch.float64)
tensor(-90.1890, dtype=torch.float64)
tensor(-90.2767, dtype=torch.float64)
tensor(-90.3489, dtype=torch.float64)
tensor(-90.5795, dtype=torch.float64)
tensor(-90.6852, dtype=torch.float64)
tensor(-90.7430, dtype=torch.float64)
tensor(-90.9109, dtype=torch.float64)
tensor(-90.9725, dtype=torch.float64)
tensor(-91.0018, dtype=torch.float64)
tensor(-91.1990, dtype=torch.float64)
tensor(-91.3257, dtype=torch.float64)
tensor(-91.4233, dtype=torch.float64)
tensor(-91.5077, dtype=torch.float64)
tensor(-91.5835, dtype=torch.float64)
tensor(-91.7870, dtype=torch.float64)
tensor(-91.8664, dtype=torch.float64)
tensor(-91.9471, dtype=torch.float64)
tensor(-92.0475, dtype=torch.float64)
tensor(-92.1095, dtype=torch.float64)
tensor(-92.2298, dtype=torch.float64)
tensor(-92.3215, dtype=torch.float64)
tensor(-92.4225, dtype=torch.float64)
tensor(-92.4948, dtype=torch.float64)
tensor(-92.5778, dtype=torch.float64)
tensor(-92.6634, dtype=torch.float64)
tensor(-92.7836, dtype=torch.float64)
tensor(-92.7948, dtype=torch.float64)
tensor(-93.0072, dtype=torch.float64)
tensor(-93.0564, dtype=torch.float64)
tensor(-93.1826, dtype=torch.float64)
tensor(-93.2391, dtype=torch.float64)
tensor(-93.3997, dtype=torch.float64)
tensor(-93.4161, dtype=torch.float64)
